"Tweet_text","ID"
"well, i must admit, i agree with jeb!. i'll vote for trump over hillary. in fact, i'd even vote for jeb! over hillary.",1603174
"putting  first by choosing what he wants over what you want is",1086017
"@naralwi amazing! that's what  collaboration &amp; solidarity looks like!",953055
"@bartmckinley  good grief.  she will say anything.",843670
"yet there is still a  that  has kept; they have their minds made up and have decided to go with  all the way!!  11:5.",1174458
" is neither good nor bad, however, many of its modern-day protagonists do behave immaturely and in a fundamentalist manner.",249243
"v   v  if nov2016 comes down to  v  i'll be voting  thanku!",1440235
"@vjeannek its crazy how they're  pro  but anti  so, its ok 2 kill babies &amp; elderly, but no",555327
"beware the quad today bobcats. it's full of assholes.",892747
"let's be honest, the western left is terrified of  &amp;  will do anything to appease",1125645
"@londoninbloom dear, true  is not understanding that when a woman says  they are referring to the 3rd wave...",1492098
"a wise man/woman is able to discern when to employ faith and feelings, and when to use facts and logic.",1489133
"to remain  and share  with others is the greatest act of  :)",1330154
"@megansm9707 @me_catholic i think ppl are increasingly rejecting the rhetorical cudgels the anti-abortion movement has weilded.",552233
"look up '2 corinthains 7:10' when you can. be blessed in jesus name! &lt;3",1174027
"@sensanders @christinamac1 i value my  to enjoy it, i must respect others also have an 'equal right' to freedom of choice.",1231998
"@missjteee @parkermolloy - as opposed to sleeping through things like",1628474
"sometimes  makes me want to convert.",263403
"then why did u show up in my mentions &amp; start talking about fairy tales? you're caught in your own web. just back out",751258
"on average 3000 unborn children r killed a day in the usa. how 'warm and welcoming' is that @katiecouric ?",1415847
"rt @gmommy7: it's time to put the devil on tranquilizers. quote the word of  to him!",1488341
"@rickcanton @berniesanders @hillaryclinton and u have my support",963412
"rt @tonyhemp: we need to stop using the term domestic terrorism and call it what it is",1527264
"may the families and loved ones of those who passed find peace and the injured have a speedy recovery.",1527781
"in fact, according to the bible, you can force your wife to have an abortion if she's pregnant with another man",1252953
"and in case i haven't made it abundantly clear  @ppact",1525288
"not only do i have hundreds of thousands of donors, most of them smalla majority of my donors are women.'",988393
"@theeugeniest @iamakoksuka @horselatitudesx @grumpy_p_sloth no, reads like feminism to me.",926491
".@kyleenwright on @westtexasdrive re:  political opponents in &amp; outside  mvmt:  'we just laugh all the way to bill signing.'",571236
"rt @nicaea1: why would anyone think that an industry that kills innocent unborn children would be above lying about ... anything?",1415754
"if we give guns to fetuses will everyone just shut up?",554543
"@eaclem right lol stop being dishonest. you mocked me. only  were caring &amp; kind when i truth about   are mean",1443813
"(for we walk by faith, not by sight:)  2 corinthians 5:7",1241631
"rt @pattondivision:  's campaign demands the personal information of five comedians who joked about her  ht",1196928
"happy  use @amazonsmile to donate to trylife center as you do your shopping!",1439775
"@lawrence_n_dc @johnnydee62 @tpm then i suggest we democrats vote for  a vote for hrc will produce no change.",1264227
"rt @daniel_diosdado: i just watched one of many @samharrisorg 's videos on  i could listen to this guy forever",1250611
"the life  has given me...",1375069
"@sallykohn btw, i really don't look to a lesbian   hag to tell us our 'core values.'",1110897
"@lifenewshq liberals have enough 'love' to make the baby but can't find the love to keep the child.",1411555
"if you're an agnostic or  living in nigeria and you've ever been harassed or discriminated against, pls tweet at me. @gidi_traffic",467162
"@dlp_is_back you seem pretty obsessed with being able to harrass women outside of clinics. why?    is",1353762
"i just wanna think  for all this new good  man",1045123
"@lilagracerose @daveclutter @megynkelly i think we need a twitter storm...big time...  for @ppact",794621
"dhec up first. clinics must pay the state nearly $2,000 to be inspected. despite receiving no state funding.",1545032
"@leahntorres should we pretend abort does not involve killing if u think this might invoke violence? just deny science &amp; biology?",1523890
"if you are  then you should be anti-gun but since everyone at this point pivots  to mental health when will healthcare improve?",576721
"say it with me folks abortion is legal. this is terrorism.",1532101
"you are  and can't even state what choice you advocate. says much about your beliefs. @seculawyer",891352
"@hillaryclinton i have no doubt you will",850210
"2016 headline:  hillary arrested for impersonating an innocent person",1316536
"o everlasting and triune god, i consecrate myself wholly to you today. let all my days offer you ceaseless praise.",1251725
"rt @padgett4texas: if entire    community donates $1 we can win this  i win we all win. @patheos htt",1475389
"rt @benjamingarnett: i'm not usually much for one-liner memes but i couldn't let this one go. @americanatheist @americnhumanist  ht",265396
"who has directed his way or said to him 'what you have done is wrong? job 36:23b",751479
"abortion wouldn't end. people who were raped would have to carry to term. people would be enduring forced reproduction on daily",893791
"there are no 'chosen people' because there is no god! get over it and show humanity to everyone you meet.",465344
"@notmuchelse its ignorant to say all these stages are the same human life! it's the same human being",968227
"you have accepted money from events hosted by wealth donors. oh yeahyoure also a hypocrite.   2/2",863133
"honoring a baby butcher as the health advocate of the yr for women.",908483
"why should it matter? we are all people no matter what we believe.",261823
"instead of fighting abortion how about  set up adoption centers? perhaps less women will abort knowing their child will be cared for",794334
"everyone's talking about amazon's paid paternity leave and i'm just wondering about paid maternity leave where i work.",906739
"rt @prisonerben1: @sisinobubblez why?  is an egalitatian movement. problem?",919288
"...back the clock on women's health care.' -pres &amp; ceo judy tabar  (2/2)",888345
"@shooters_wife @thetxembassy why not. not like it's her money. she's flat broke, remember.",1585730
"@shondarhimes @scandalwriters thank you, again, you seem to be putting a bit of me in her too:) thank you:)",1207976
"looking forward to   @  on  &amp;  in the  on monday 11/16!",1036309
"and that's only one reason why",861088
"i just made a donation ! thank you to all those who work to make women's health care available.",1525212
"i've noticed it's totally cool for people to say awful things to me because i'm an  but if i'm critical of  i'm a monster.",652484
"i will set a sign among them.  isaiah 66:19",1058155
"@irelandprolife that's not feminism. that's just more misogyny. denying women's autonomy. sick.  is",554988
"help us report &amp; block these  anti- of  spam accounts -&gt;    @shugdenlibrary @jezik86 @elainehuth @nowisthetime37",261685
"@slate even if  it's hardly stringent. they're just regs keeping back alley quality clinics closed. dems are supposed to love regs",1107325
"rt @hillary4florida: hillary clinton on raising the minimum wage:        h",931450
"@art_grove @dtavarga @sunbeltgirl &amp; your views of taking care of the rich over poor? or  stoping at babies? not perfect either",1355213
"@bryngreenwood @dodi70 if a  has an  it's between her &amp;  &amp;not some  propagandist",1482549
"more of you  less of me",1329940
"@thehill @reallyandrea the 'audience' didn't think that. one guy on twitter thought that.  @hillaryclinton",1011868
"rt @fightfor15: so saddened to read about attack on colorado springs @ppfa. their work saves lives. we  shoulder to shoulder.",1462618
"i like to think that @shondarhimes is using this platform to educate viewers on what @ppact actually does.",1208610
"its easy to be  when youre not the child of an abusive family",1203300
"whats with all theses hatred against   is  and.. rather the media's are the one's.",1041411
"rt @godless_mom: well, i just got a legitimate 'why are there still monkeys?' on instagram.",260111
"can i give up a few hours for  no! we come up w/all kind of reasons to not go..... ~@brojcm_chicago",1044886
"after the blessed sacrament, the holiest object ever presented to our senses is another human being. fr. john riccardo",1203304
"@skipperchristii don't worry: in your case, it's not.",945895
"an ivf clinic is burning. grab a cryo container with 10 embryos or rescue 1 employee? even  doesn't believe it's own bs.",553362
"women really pulling up with they jumper these days...",1114199
"rt @1dittlinger: tuesday's here folks. make it a great day. be the reason someone smiles.",1410370
"lol today i learned feminists support sharia law according to my econ sub...",948228
"@sahluwal one is advocating for removing people of their human rights and the other actually cares.",1633157
"@uriblago really, you think there's no  poor gop women who need to obtain necessary health care @ pp?    @tkdcoach",1545843
"rt @l_za2f: via @liberty_pike: 99.5% of abortions are had by women who chose to have sex and risk that 'drastic life event.'",553257
" a day early, b/c shooting up a  clinic while screaming about baby parts has nothing to do with",1466787
"@kathleen_dunn: done    thankful to have a strong prolife candidate to vote for!",566003
"gives me the shivers with all the talking about how americans need to be imprisoned for speaking.   save us!",1464222
"i have the right to fight off infections, cancers, rapists etc, &amp; if i don't want a fetus in my uterus it's my right to remove it",553498
"you don't have to believe in a god to be passionate about life.",464747
"having a disability does not make an unborn child less human. abortion is always wrong.",550436
"i think hillary clinton would be great president.",1015396
"@ppact @hillaryclinton which is of course, maximizing your profits...",1022693
"rt @glcpops: we don't need comprehensive gun control.  what we need is comprehensive terrorist control.",1607500
"rt @gmommy7:  provides for you.  is the confirmation. that's all you need to know.",1088626
"@irelandprolife nowhere in that post does it occur to you that women are actually people whose consent matters.  is",554995
"rt @chooseliferacer:  how many babies have to die, before you say enough is enough how many women have to endure regret h",911429
"rt @gop_the4threich: @gop_the4threich  ' fraud orgs in bed w  party   @dmregister h",1489289
"it's the only position a reasonable person can arrive at.",1572858
"@yahwehtsevayoth you just brought curses on yourself by sending me that comment, &amp; yhwh tzevaot is not going to save u.",1216272
"if god is on your side, you shall not be defeated by your enemies. be strong, believe in god, believe in yourself and be without fear.",1045537
"nothing can destroy charlie sheen",1085671
"@sligoprolife @tvcritics @ballyhea14 what a ridiculous ignorant statement",553106
